,MeanVar,MinVar,Equal,DRL
2018-03-31,,,,
2018-06-30,,,,
2018-09-30,,,,
2018-12-31,,,,
2019-03-31,,,,
2019-06-30,,,,
2019-09-30,,,,
2019-12-31,0.355356349071913,-0.09755562037381339,-0.09755562037380829,-0.4826546594026468
2020-03-31,-0.5106565395802161,-0.7947116112293479,-0.7947116112293442,-1.0612623114890931
2020-06-30,-0.1343158234839988,-0.35595443088964723,-0.35595443088964707,-0.4598107339395486
2020-09-30,0.02978364626918147,-0.1689970233476254,-0.1689991033384985,-0.3403670621787983
2020-12-31,0.7417879541701395,0.4823199499632116,0.4823228513828875,0.3180406548150512
2021-03-31,0.9162348908806603,0.6463239315701499,0.6463260528470157,0.5853549363373715
2021-06-30,0.9514070456028557,0.8094716090780941,0.8094728750366901,0.7367431352612855
2021-09-30,0.9280276749857475,0.7764203202989669,0.7764217715595265,0.7069616749107329
2021-12-31,0.6835817217871948,0.5755948413643637,0.5755973115461539,0.5816915276250413
2022-03-31,1.4017371469239628,1.4825229519039793,1.4825171457505342,1.5129708278139848
2022-06-30,0.8931063127178885,1.012835389359214,1.0128329982845237,1.0711520101264964
2022-09-30,0.8437518930385632,0.9964052411832903,0.9964053860396205,1.0988773058709673
2022-12-31,0.7376632577064578,0.8499520224522259,0.8499520224522261,0.9713035039467327
2023-03-31,-0.14979369055210118,0.07926989067599284,0.07926989067599202,0.26242191355545835
2023-06-30,-0.4729250706758301,-0.47172252295954137,-0.4717225229595419,-0.29908174103473656
2023-09-30,-0.3556644054127411,-0.4365297471796785,-0.4365297471796789,-0.2400079408203728
2023-12-31,-0.013377677354737593,-0.06338411128215274,-0.06338411128215533,0.1530401730985204
2024-03-31,-0.37689309994934117,-0.6151879669108626,-0.6151879669108633,-0.4801288877495266
2024-06-30,-0.528330303802067,-0.8335902521601022,-0.8335902521601025,-0.7983074848787598
2024-09-30,-0.23747662996204663,-0.65470771168885,-0.6547077116888499,-0.46437420235000326
2024-12-31,-0.8555637605918296,-1.440302416791475,-1.4403024167914773,-0.9918792931970912
2025-03-31,-0.14111264884784824,-0.8320616872248824,-0.8320616872248826,-0.6116706131769402
2025-06-30,-0.20612968714405108,-0.8358831622046318,-0.835883162204633,-0.5526518343751794
