,equity
2018-03-31,1.0024079377326345
2018-06-30,1.0478025758684355
2018-09-30,1.098825053264541
2018-12-31,0.9203353595614269
2019-03-31,1.050496794495238
2019-06-30,1.0643939267622877
2019-09-30,1.0668707990432116
2019-12-31,1.1630043795605691
2020-03-31,0.8000214341178777
2020-06-30,1.0267335740748513
2020-09-30,1.1147183494679362
2020-12-31,1.3927833057456638
2021-03-31,1.6081970397944072
2021-06-30,1.762564943145498
2021-09-30,1.7371726699059837
2021-12-31,1.8750876844030593
2022-03-31,1.8653234092659883
2022-06-30,1.534892892852147
2022-09-30,1.4626689739589573
2022-12-31,1.6336961745733605
2023-03-31,1.7075550368438719
2023-06-30,1.7574224225539692
2023-09-30,1.6779593255460552
2023-12-31,1.9068158918919194
2024-03-31,2.037352389574186
2024-06-30,1.9646451001058904
2024-09-30,2.1649343731098125
2024-12-31,2.1640600132802508
2025-03-31,2.1186390380952456
2025-06-30,2.2551356763816823
