asset_id,symbol,side,qty,order_type,tp_price,sl_price
1045,AAL,SELL,2.35,MARKET,,
1878,ADSK,SELL,0.02,MARKET,,
2086,BAX,BUY,27.82,MARKET,,
2101,AIT,SELL,0.39,MARKET,,
2269,HRB,SELL,0.98,MARKET,,
2312,RHI,SELL,1.58,MARKET,,
3336,DXC,BUY,0.22,MARKET,,
3362,CAG,SELL,0.16,MARKET,,
3708,WEN,SELL,0.37,MARKET,,
3863,DLX,SELL,0.16,MARKET,,
3964,DDS,BUY,0.04,MARKET,,
4430,EQT,BUY,0.04,MARKET,,
4723,USB,BUY,0.05,MARKET,,
4737,FHN,BUY,0.22,MARKET,,
5073,GM,SELL,0.04,MARKET,,
5543,WELL,SELL,0.01,MARKET,,
5568,KHC,SELL,0.43,MARKET,,
5786,HBAN,BUY,0.17,MARKET,,
6008,INTC,BUY,0.2,MARKET,,
6649,LEG,SELL,0.37,MARKET,,
6733,BBWI,BUY,0.22,MARKET,,
6788,RRC,BUY,0.08,MARKET,,
6821,LPX,BUY,0.03,MARKET,,
6829,LOW,SELL,0.01,MARKET,,
6994,MTW,SELL,0.47,MARKET,,
7241,CVS,SELL,0.07,MARKET,,
7435,MMM,BUY,0.03,MARKET,,
7750,THC,SELL,0.04,MARKET,,
7991,TEX,BUY,0.05,MARKET,,
8272,SRE,BUY,0.08,MARKET,,
8543,MO,SELL,0.07,MARKET,,
8692,PCH,SELL,0.06,MARKET,,
9783,KEY,BUY,0.19,MARKET,,
9846,EIX,BUY,0.16,MARKET,,
10121,NAVI,SELL,0.15,MARKET,,
11264,WBA,BUY,21.06,MARKET,,
11600,WOR,BUY,0.03,MARKET,,
11636,XRX,SELL,2.14,MARKET,,
11856,TFC,BUY,0.08,MARKET,,
12459,NVR,SELL,0.0,MARKET,,
12689,KBH,SELL,0.07,MARKET,,
13421,CDNS,SELL,0.01,MARKET,,
14624,ODP,BUY,0.23,MARKET,,
15414,TECH,BUY,0.05,MARKET,,
15417,BRO,BUY,0.02,MARKET,,
18289,ASC,SELL,0.54,MARKET,,
19000,MMI,SELL,0.08,MARKET,,
20748,ANET,SELL,0.03,MARKET,,
21825,CFG,BUY,0.05,MARKET,,
25340,DHI,SELL,0.02,MARKET,,
26061,MTCH,BUY,0.09,MARKET,,
28338,RIG,BUY,0.98,MARKET,,
28790,LW,SELL,0.11,MARKET,,
29127,INCY,SELL,0.07,MARKET,,
29150,URBN,BUY,0.06,MARKET,,
29751,ALB,BUY,0.04,MARKET,,
29804,IVZ,BUY,0.23,MARKET,,
30137,NKTR,BUY,23.05,MARKET,,
32546,SE,BUY,0.02,MARKET,,
34164,EQ,BUY,391.71,MARKET,,
34749,COIN,BUY,0.01,MARKET,,
35620,DDOG,BUY,0.02,MARKET,,
36444,UCL,BUY,205.82,MARKET,,
37596,S,SELL,0.64,MARKET,,
39624,TMC,SELL,1.68,MARKET,,
40279,STI,BUY,222.83,MARKET,,
63643,ANF,BUY,0.07,MARKET,,
64030,STLD,BUY,0.02,MARKET,,
64410,KMX,BUY,0.11,MARKET,,
66368,VRSN,SELL,0.01,MARKET,,
105365,AMT,SELL,0.01,MARKET,,
143912,AXON,BUY,0.01,MARKET,,
145552,CNC,SELL,0.14,MARKET,,
160329,GOOGL,SELL,0.01,MARKET,,
164046,GTE,BUY,168.08,MARKET,,
166385,PAC,BUY,0.01,MARKET,,
176567,SMCI,BUY,0.14,MARKET,,
178310,TDC,BUY,0.1,MARKET,,
184996,TSLA,BUY,0.01,MARKET,,
198058,CPRI,BUY,0.32,MARKET,,
312009,FRO,SELL,0.49,MARKET,,
